place_id,state,city,place_name,type,avg_budget,safety_score,hotel_cost_per_night,food_cost_per_day,transport_cost,railway_distance_km,bus_distance_km,airport_distance_km,family_friendly,place,good_place_1,good_place_2,bad_place_1,bad_place_2,hotel_name,women_safety,crowd_level,best_time,railway_distance,bus_distance,airport_distance,budget,lat,lng
17,Karnataka,Mysuru,Mysuru Riverfront 981,Desert,22677,9.4,2883,524,1284,9,9,21,No,Tourist Place,Shopping Street,Lake View,Avoid dark forest roads,Avoid crowded late-night bus stands,Radisson Blu,Low,High,Night,15,9,38,11559,11.676409,78.825615
18,Karnataka,Hampi,Hampi Palace 402,Historical,10175,6.5,3271,602,1858,13,1,44,Yes,Tourist Place,Shopping Street,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,OYO Premium,Low,Low,Evening,13,1,35,5696,24.246415,82.160977
19,Karnataka,Coorg,Coorg Fort 286,Beach,20162,9.4,3809,580,548,11,1,6,No,Tourist Place,City Mall,Temple Area,Avoid isolated roads at night,Avoid abandoned market areas,Treebo Residency,High,Low,Night,14,4,26,17104,24.162221,87.30251
20,Karnataka,Mangalore,Mangalore Dam 643,Wildlife,14799,7.1,2044,1007,2672,9,13,47,Yes,Tourist Place,Local Food Street,Temple Area,Avoid isolated roads at night,Avoid crowded late-night bus stands,Taj Hotel,Moderate,Medium,Morning,10,9,10,14872,24.952214,70.66799
21,Kerala,Kochi,Kochi Mosque 536,Wildlife,17312,8.4,2260,643,1227,1,2,30,Yes,Tourist Place,City Mall,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,ITC Grand,Moderate,High,Evening,2,3,27,17615,19.081473,76.542173
22,Kerala,Munnar,Munnar Lake 874,Historical,19545,6.5,3518,1055,3000,14,6,33,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,Moderate,Low,Evening,12,2,37,12277,27.88624,83.009212
23,Kerala,Alappuzha,Alappuzha Lake 190,Beach,10925,7.8,677,537,1494,9,12,40,Yes,Tourist Place,Historic Center,Lake View,Avoid unknown shortcuts,Avoid remote hills after sunset,ITC Grand,Low,Low,Morning,10,1,11,12432,9.595917,85.451251
24,Kerala,Thekkady,Thekkady Fort 515,Cultural,7122,8.7,2544,1266,1219,16,10,10,Yes,Tourist Place,Beach Market,Sunset Point,Avoid dark forest roads,Avoid crowded late-night bus stands,Radisson Blu,Moderate,Low,Morning,11,10,7,10933,10.874869,73.750185
25,Kerala,Wayanad,Wayanad Temple 767,Beach,14128,9.0,4596,480,308,12,10,28,Yes,Tourist Place,Beach Market,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,Leela Palace,Moderate,Low,Morning,9,9,11,17359,22.564864,74.206504
26,Maharashtra,Mumbai,Mumbai Zoo 993,Eco Tourism,6125,6.5,2431,337,2576,1,14,15,Yes,Tourist Place,Local Food Street,Adventure Zone,Avoid unknown shortcuts,Avoid remote hills after sunset,OYO Premium,Moderate,Medium,Night,5,10,24,4989,32.339646,84.71881
27,Maharashtra,Pune,Pune Valley 350,Desert,13092,9.4,531,1439,1606,6,11,13,Yes,Tourist Place,Beach Market,Tourist Market,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Taj Hotel,Low,High,Evening,8,2,11,21232,12.26724,96.601512
28,Maharashtra,Aurangabad,Aurangabad Valley 613,Spiritual,9905,8.8,2462,1507,2706,17,5,29,No,Tourist Place,Historic Center,Temple Area,Avoid isolated roads at night,Avoid crowded late-night bus stands,Radisson Blu,Low,Low,Morning,5,10,22,21199,27.792087,75.448348
29,Maharashtra,Lonavala,Lonavala Waterfall 707,Hill Station,2785,9.4,3110,505,1888,8,11,16,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Taj Hotel,Moderate,Low,Evening,15,9,19,23933,21.43149,68.768622
30,Maharashtra,Nashik,Nashik Monument 537,Cultural,8066,6.8,3968,1968,2792,8,13,37,No,Tourist Place,Beach Market,Lake View,Avoid isolated roads at night,Avoid unsafe local alleys,ITC Grand,High,Medium,Night,6,3,36,23746,19.116723,95.517067
31,Goa,Panaji,Panaji Sanctuary 825,Nature,20950,8.0,3419,1473,2517,16,1,15,Yes,Tourist Place,Shopping Street,Adventure Zone,Avoid deserted beach areas,Avoid crowded late-night bus stands,Treebo Residency,Moderate,Medium,Evening,6,1,39,20596,15.172909,86.795213
32,Goa,Margao,Margao Riverfront 883,Nature,12410,7.5,1873,1038,1548,8,15,27,No,Tourist Place,Historic Center,Lake View,Avoid dark forest roads,Avoid abandoned market areas,ITC Grand,Low,Medium,Night,2,10,38,6907,30.192146,80.269689
33,Goa,Mapusa,Mapusa Beach 745,Wildlife,19941,7.9,2203,788,2804,10,2,22,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid unknown shortcuts,Avoid remote hills after sunset,Treebo Residency,Moderate,High,Evening,14,8,14,24485,32.099183,76.980399
34,Goa,Vasco da Gama,Vasco da Gama Fort 776,Hill Station,2778,8.7,4495,369,284,15,10,7,No,Tourist Place,Shopping Street,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,ITC Grand,High,Low,Morning,5,4,6,14653,15.621907,72.950833
35,Rajasthan,Jaipur,Jaipur Monument 179,Beach,3664,6.6,3487,327,2395,5,10,39,Yes,Tourist Place,Shopping Street,Tourist Market,Avoid deserted beach areas,Avoid abandoned market areas,Taj Hotel,High,Medium,Morning,5,10,15,19234,20.491344,71.622756
36,Rajasthan,Udaipur,Udaipur Temple 700,Historical,23791,8.3,3695,1186,2464,12,14,31,No,Tourist Place,Beach Market,Sunset Point,Avoid unknown shortcuts,Avoid unsafe local alleys,Treebo Residency,Low,Low,Night,10,10,12,11116,30.075233,85.490829
37,Rajasthan,Jaisalmer,Jaisalmer Museum 784,Adventure,12136,9.7,2730,1485,1060,1,7,50,Yes,Tourist Place,Historic Center,Lake View,Avoid deserted beach areas,Avoid crowded late-night bus stands,OYO Premium,High,Low,Night,11,4,11,5432,20.196008,88.05558
38,Rajasthan,Mount Abu,Mount Abu Riverfront 162,Beach,7770,8.0,2381,1254,1054,17,3,13,No,Tourist Place,Historic Center,Lake View,Avoid deserted beach areas,Avoid unsafe local alleys,Radisson Blu,Low,High,Evening,13,10,24,21984,10.907789,77.21793
39,Rajasthan,Ajmer,Ajmer Church 773,Eco Tourism,3339,8.5,3721,1448,477,7,2,31,No,Tourist Place,Shopping Street,Sunset Point,Avoid isolated roads at night,Avoid crowded late-night bus stands,ITC Grand,High,Medium,Evening,4,1,16,15145,16.47213,96.548525
40,Uttar Pradesh,Agra,Agra Valley 3,Historical,20905,7.3,1695,1450,1547,19,15,22,No,Tourist Place,City Mall,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,Leela Palace,High,Medium,Evening,15,4,9,14188,23.565258,81.205735
41,Uttar Pradesh,Varanasi,Varanasi Zoo 649,Eco Tourism,3425,9.1,4757,417,1568,17,15,12,Yes,Tourist Place,Shopping Street,Adventure Zone,Avoid deserted beach areas,Avoid abandoned market areas,ITC Grand,Moderate,Medium,Evening,4,2,34,18832,25.612139,77.463959
42,Uttar Pradesh,Lucknow,Lucknow Beach 969,Nature,10998,7.7,1795,1909,2995,8,3,35,Yes,Tourist Place,Historic Center,Temple Area,Avoid dark forest roads,Avoid remote hills after sunset,Leela Palace,Moderate,Low,Morning,7,9,18,16683,28.320747,95.226133
43,Uttar Pradesh,Prayagraj,Prayagraj Beach 16,Wildlife,23762,8.2,2539,1689,2111,11,7,19,No,Tourist Place,Local Food Street,Temple Area,Avoid unknown shortcuts,Avoid remote hills after sunset,Treebo Residency,High,Medium,Night,12,4,12,21082,9.437841,69.954354
44,Uttar Pradesh,Mathura,Mathura Fort 812,Beach,19885,7.8,2978,528,600,2,5,31,Yes,Tourist Place,Local Food Street,Adventure Zone,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,High,High,Night,10,2,37,6898,9.089962,92.84501
45,Uttarakhand,Rishikesh,Rishikesh Fort 110,Desert,12531,7.8,4255,689,466,11,7,43,Yes,Tourist Place,City Mall,Temple Area,Avoid deserted beach areas,Avoid unsafe local alleys,Treebo Residency,Low,Low,Evening,5,4,37,23349,8.944953,81.257835
46,Uttarakhand,Haridwar,Haridwar Riverfront 301,Adventure,23555,7.1,3978,752,2808,8,14,42,Yes,Tourist Place,City Mall,Tourist Market,Avoid dark forest roads,Avoid crowded late-night bus stands,OYO Premium,Moderate,Low,Morning,13,4,36,24038,28.297344,79.790019
47,Uttarakhand,Nainital,Nainital Temple 179,Adventure,15030,9.3,579,1464,321,8,2,21,No,Tourist Place,Beach Market,Temple Area,Avoid dark forest roads,Avoid unsafe local alleys,Treebo Residency,Low,High,Morning,5,8,38,20531,23.117471,71.33625
48,Uttarakhand,Mussoorie,Mussoorie Valley 575,Nature,19621,8.1,3035,935,1080,11,8,48,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid isolated roads at night,Avoid crowded late-night bus stands,Radisson Blu,Moderate,Medium,Night,3,5,10,4662,16.649805,75.593908
49,Uttarakhand,Dehradun,Dehradun Hill 792,Wildlife,23528,7.2,2622,1040,1986,6,15,40,Yes,Tourist Place,Historic Center,Tourist Market,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Taj Hotel,Moderate,High,Morning,7,9,19,4107,34.605696,69.08152
50,Himachal Pradesh,Shimla,Shimla Palace 295,Nature,7299,8.4,4906,1560,2204,7,1,19,Yes,Tourist Place,Beach Market,Adventure Zone,Avoid isolated roads at night,Avoid crowded late-night bus stands,Taj Hotel,High,Medium,Night,7,7,13,24523,22.152195,68.97301
51,Himachal Pradesh,Manali,Manali Valley 81,Nature,14706,7.2,2455,1148,1741,14,7,28,No,Tourist Place,Local Food Street,Adventure Zone,Avoid dark forest roads,Avoid crowded late-night bus stands,Treebo Residency,Low,Medium,Night,6,7,39,8815,22.933969,93.13808
52,Himachal Pradesh,Dharamshala,Dharamshala Beach 979,Wildlife,12515,9.4,2014,1218,1007,20,12,38,No,Tourist Place,Shopping Street,Temple Area,Avoid deserted beach areas,Avoid remote hills after sunset,Leela Palace,High,Medium,Morning,14,9,17,24042,34.580172,92.898292
53,Himachal Pradesh,Kullu,Kullu Sanctuary 527,Cultural,7716,8.3,522,611,1848,3,5,48,Yes,Tourist Place,City Mall,Adventure Zone,Avoid isolated roads at night,Avoid crowded late-night bus stands,Leela Palace,High,High,Morning,6,10,38,22422,19.851197,76.603035
54,Himachal Pradesh,Kasol,Kasol Sanctuary 716,Eco Tourism,12701,9.3,3456,1723,2907,16,12,10,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid dark forest roads,Avoid crowded late-night bus stands,Taj Hotel,Low,Medium,Night,1,9,5,10135,32.523914,72.866855
55,Jammu and Kashmir,Srinagar,Srinagar Monument 209,Spiritual,22895,6.6,719,408,2555,20,2,40,Yes,Tourist Place,Local Food Street,Temple Area,Avoid deserted beach areas,Avoid crowded late-night bus stands,Radisson Blu,Moderate,Medium,Evening,2,3,37,14390,8.499343,76.48147
56,Jammu and Kashmir,Gulmarg,Gulmarg Caves 358,Eco Tourism,23043,9.6,2742,1795,818,15,14,32,No,Tourist Place,Shopping Street,Lake View,Avoid unknown shortcuts,Avoid remote hills after sunset,Taj Hotel,Low,Medium,Morning,9,7,10,19884,28.037573,78.891923
57,Jammu and Kashmir,Pahalgam,Pahalgam Beach 218,Spiritual,12396,8.4,3904,314,2220,16,1,37,Yes,Tourist Place,Beach Market,Tourist Market,Avoid unknown shortcuts,Avoid abandoned market areas,Leela Palace,Moderate,High,Morning,15,6,35,20430,30.197207,76.853489
58,Jammu and Kashmir,Sonamarg,Sonamarg Island 913,Adventure,21713,7.9,3944,957,2936,9,5,14,Yes,Tourist Place,Beach Market,Lake View,Avoid deserted beach areas,Avoid abandoned market areas,ITC Grand,High,Low,Morning,9,2,37,12207,34.132526,85.883278
59,West Bengal,Kolkata,Kolkata Fort 351,Spiritual,13245,8.6,4637,899,690,16,15,40,No,Tourist Place,Local Food Street,Sunset Point,Avoid dark forest roads,Avoid remote hills after sunset,OYO Premium,High,Medium,Evening,12,7,23,23469,19.429569,69.635602
60,West Bengal,Darjeeling,Darjeeling Mosque 884,Adventure,4368,8.1,1926,1606,1506,14,12,11,No,Tourist Place,Local Food Street,Adventure Zone,Avoid dark forest roads,Avoid unsafe local alleys,Radisson Blu,Moderate,Medium,Evening,13,8,13,23644,31.438583,71.830811
61,West Bengal,Siliguri,Siliguri Fort 56,Spiritual,24344,9.7,2532,1058,1768,1,12,44,Yes,Tourist Place,Beach Market,Sunset Point,Avoid isolated roads at night,Avoid abandoned market areas,Leela Palace,Moderate,Medium,Night,11,10,18,7551,11.044849,70.807331
62,West Bengal,Sundarbans,Sundarbans Dam 315,Wildlife,22810,9.2,4510,694,2778,12,9,23,Yes,Tourist Place,Historic Center,Sunset Point,Avoid dark forest roads,Avoid abandoned market areas,Treebo Residency,High,Low,Night,7,1,8,12889,21.845063,94.366019
63,Gujarat,Ahmedabad,Ahmedabad Mosque 241,Beach,16475,7.8,778,794,1280,12,14,25,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid isolated roads at night,Avoid remote hills after sunset,ITC Grand,Low,High,Evening,5,1,33,13698,10.319672,84.700302
64,Gujarat,Dwarka,Dwarka Dam 928,Spiritual,13939,7.8,767,1067,844,9,6,5,Yes,Tourist Place,City Mall,Lake View,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Radisson Blu,High,Medium,Evening,11,3,16,7326,23.312249,87.64071
65,Gujarat,Gir,Gir National Park 42,Adventure,8577,6.8,2155,1567,1942,18,8,19,No,Tourist Place,City Mall,Adventure Zone,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Treebo Residency,Low,Medium,Night,7,4,27,15979,31.940769,84.230119
66,Gujarat,Kutch,Kutch Palace 793,Spiritual,14601,7.2,1901,1216,1267,18,11,45,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid dark forest roads,Avoid abandoned market areas,Taj Hotel,Low,Medium,Morning,13,9,10,5503,24.90748,75.603076
67,Gujarat,Somnath,Somnath Riverfront 903,Nature,14828,9.8,3745,1641,2600,5,13,43,Yes,Tourist Place,City Mall,Sunset Point,Avoid dark forest roads,Avoid abandoned market areas,Treebo Residency,Moderate,High,Night,2,6,33,4361,12.30292,79.569012
68,Punjab,Amritsar,Amritsar Church 218,Eco Tourism,8068,9.4,3591,1741,1623,8,12,5,No,Tourist Place,Local Food Street,Lake View,Avoid isolated roads at night,Avoid abandoned market areas,Taj Hotel,High,Medium,Evening,10,9,37,9418,21.843245,89.797399
69,Punjab,Chandigarh,Chandigarh Palace 72,Nature,3243,7.9,4747,1370,2785,5,8,28,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid dark forest roads,Avoid unsafe local alleys,ITC Grand,Moderate,High,Evening,7,1,28,16596,23.037584,89.574813
70,Punjab,Ludhiana,Ludhiana Museum 847,Historical,17901,6.5,1002,1703,1443,16,9,44,No,Tourist Place,Local Food Street,Sunset Point,Avoid isolated roads at night,Avoid remote hills after sunset,Taj Hotel,High,High,Morning,8,6,5,9258,15.331768,73.961395
71,Punjab,Patiala,Patiala Museum 504,Desert,10497,9.3,2464,1962,1822,3,11,6,Yes,Tourist Place,City Mall,Sunset Point,Avoid isolated roads at night,Avoid crowded late-night bus stands,Taj Hotel,Moderate,Low,Evening,9,2,34,8914,29.661291,68.145208
72,Bihar,Patna,Patna Beach 960,Eco Tourism,4033,8.2,3803,1988,1796,15,10,47,No,Tourist Place,Beach Market,Lake View,Avoid dark forest roads,Avoid abandoned market areas,Taj Hotel,High,High,Evening,7,10,28,23905,8.424996,93.868375
73,Bihar,Gaya,Gaya Valley 966,Spiritual,16525,7.2,1045,1520,1779,6,1,9,No,Tourist Place,Historic Center,Sunset Point,Avoid unknown shortcuts,Avoid abandoned market areas,ITC Grand,Low,High,Morning,6,4,16,22875,25.502406,86.409573
74,Bihar,Nalanda,Nalanda Church 184,Historical,11407,7.4,1426,1945,2473,13,6,18,Yes,Tourist Place,Local Food Street,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,Leela Palace,Moderate,Medium,Night,12,10,20,18921,12.538245,85.912374
75,Bihar,Vaishali,Vaishali Zoo 44,Desert,13538,7.7,897,1034,2382,20,10,50,Yes,Tourist Place,Local Food Street,Tourist Market,Avoid deserted beach areas,Avoid abandoned market areas,Leela Palace,Moderate,Low,Morning,2,5,35,16255,23.156191,73.507473
76,Odisha,Puri,Puri Riverfront 638,Beach,5542,7.8,3782,1947,1863,20,1,31,Yes,Tourist Place,Beach Market,Temple Area,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Taj Hotel,Low,High,Morning,15,10,30,21381,30.895807,88.528924
77,Odisha,Konark,Konark Waterfall 976,Eco Tourism,11712,6.9,3316,473,907,15,9,19,Yes,Tourist Place,Shopping Street,Sunset Point,Avoid isolated roads at night,Avoid abandoned market areas,Treebo Residency,Low,High,Night,9,8,25,20225,15.837516,96.303855
78,Odisha,Bhubaneswar,Bhubaneswar Garden 360,Cultural,3588,7.7,2837,707,811,15,7,23,Yes,Tourist Place,City Mall,Adventure Zone,Avoid isolated roads at night,Avoid abandoned market areas,Leela Palace,High,High,Evening,7,1,13,21614,17.387085,75.738212
79,Odisha,Cuttack,Cuttack Church 582,Eco Tourism,23317,7.5,1323,1403,332,11,6,30,No,Tourist Place,Beach Market,Adventure Zone,Avoid unknown shortcuts,Avoid unsafe local alleys,ITC Grand,Low,Low,Night,1,10,25,15914,33.717023,72.130782
80,Assam,Guwahati,Guwahati Palace 83,Spiritual,7445,9.6,1778,1502,1355,13,10,42,Yes,Tourist Place,Shopping Street,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,Treebo Residency,Low,Medium,Evening,5,6,19,10861,31.290922,71.410869
81,Assam,Kaziranga,Kaziranga Valley 568,Eco Tourism,24796,9.6,1220,378,2379,7,12,19,Yes,Tourist Place,Local Food Street,Tourist Market,Avoid unknown shortcuts,Avoid remote hills after sunset,Treebo Residency,High,Low,Night,5,9,35,17422,10.852633,70.153095
82,Assam,Majuli,Majuli Valley 151,Adventure,12940,7.3,3308,466,965,6,9,7,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid unknown shortcuts,Avoid abandoned market areas,OYO Premium,High,High,Night,10,10,21,11200,18.990249,75.587832
83,Assam,Sivasagar,Sivasagar Palace 610,Beach,18983,6.9,4419,1791,2482,13,3,46,No,Tourist Place,Local Food Street,Temple Area,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,High,Medium,Evening,1,2,36,19437,13.712574,73.577194
84,Madhya Pradesh,Bhopal,Bhopal Riverfront 682,Nature,4536,9.8,1321,641,1424,5,13,16,Yes,Tourist Place,Shopping Street,Temple Area,Avoid isolated roads at night,Avoid remote hills after sunset,Taj Hotel,High,High,Morning,1,10,7,13005,22.251038,77.635412
85,Madhya Pradesh,Khajuraho,Khajuraho Hill 70,Adventure,23127,8.7,1145,540,1308,9,11,16,No,Tourist Place,Beach Market,Tourist Market,Avoid unknown shortcuts,Avoid unsafe local alleys,Treebo Residency,High,High,Morning,11,4,33,14717,12.252158,82.848466
86,Madhya Pradesh,Jabalpur,Jabalpur Fort 883,Nature,24952,9.5,4613,1341,412,17,14,32,No,Tourist Place,Beach Market,Tourist Market,Avoid dark forest roads,Avoid remote hills after sunset,OYO Premium,Moderate,Medium,Night,15,3,38,4884,24.418452,79.97769
87,Madhya Pradesh,Indore,Indore Valley 724,Cultural,19332,8.8,1614,790,2599,16,8,8,No,Tourist Place,Beach Market,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,Leela Palace,Low,Low,Morning,2,1,21,17686,22.066827,75.504267
88,Delhi,New Delhi,New Delhi Monument 349,Eco Tourism,4344,9.5,1284,1535,1403,4,5,24,No,Tourist Place,Beach Market,Tourist Market,Avoid unknown shortcuts,Avoid abandoned market areas,ITC Grand,Moderate,High,Morning,11,10,15,8531,34.347632,71.734108
89,Andhra Pradesh,Vijayawada,Vijayawada Fort 86,Nature,22198,9.6,4642,1055,748,20,2,40,Yes,Tourist Place,Historic Center,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,Radisson Blu,High,High,Morning,5,6,33,5199,28.240661,84.686117
90,Andhra Pradesh,Tirupati,Tirupati Temple 619,Desert,11815,8.8,1881,1287,444,12,6,35,Yes,Tourist Place,Beach Market,Lake View,Avoid deserted beach areas,Avoid remote hills after sunset,ITC Grand,High,High,Night,7,8,14,12218,15.717649,80.538891
91,Andhra Pradesh,Visakhapatnam,Visakhapatnam Zoo 244,Desert,17185,6.8,1453,1071,596,2,3,25,No,Tourist Place,Local Food Street,Tourist Market,Avoid isolated roads at night,Avoid unsafe local alleys,OYO Premium,Low,High,Night,10,3,17,24755,26.66639,86.707163
92,Andhra Pradesh,Araku Valley,Araku Valley Palace 754,Beach,9429,7.8,3851,1571,220,5,5,49,Yes,Tourist Place,Beach Market,Sunset Point,Avoid deserted beach areas,Avoid remote hills after sunset,Radisson Blu,High,Medium,Evening,9,3,5,21283,25.168526,96.969455
93,Andhra Pradesh,Amaravati,Amaravati Riverfront 576,Hill Station,24677,8.9,1345,373,2332,7,7,49,Yes,Tourist Place,Shopping Street,Sunset Point,Avoid unknown shortcuts,Avoid remote hills after sunset,Leela Palace,Moderate,Low,Evening,8,10,22,10496,31.950965,91.64894
94,Telangana,Hyderabad,Hyderabad Garden 287,Wildlife,11105,9.5,4000,1942,843,15,7,45,No,Tourist Place,Shopping Street,Tourist Market,Avoid isolated roads at night,Avoid remote hills after sunset,OYO Premium,High,Low,Night,4,1,39,23360,18.178836,68.81166
95,Telangana,Warangal,Warangal Dam 663,Historical,7552,8.5,3817,1686,2502,5,5,42,No,Tourist Place,Local Food Street,Tourist Market,Avoid deserted beach areas,Avoid crowded late-night bus stands,Radisson Blu,Low,Low,Evening,5,3,26,11717,12.943592,76.748403
96,Telangana,Nizamabad,Nizamabad Mosque 525,Adventure,5684,8.3,773,1385,2350,18,13,18,Yes,Tourist Place,City Mall,Adventure Zone,Avoid isolated roads at night,Avoid unsafe local alleys,Radisson Blu,Moderate,High,Evening,15,8,40,16098,9.233096,82.786832
97,Telangana,Adilabad,Adilabad Garden 221,Historical,8639,8.6,1096,1667,617,19,1,13,No,Tourist Place,Historic Center,Sunset Point,Avoid deserted beach areas,Avoid remote hills after sunset,OYO Premium,Low,High,Night,14,5,27,21707,34.216432,80.426809
98,Telangana,Karimnagar,Karimnagar Zoo 321,Spiritual,7380,9.8,2184,664,1866,16,8,36,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid deserted beach areas,Avoid abandoned market areas,OYO Premium,High,High,Evening,12,1,29,17025,20.598978,79.964361
